"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NCOA7",5.52166282334625e-10,0.594584280502163,0.938,0.889,2.02098380997296e-05
"HUWE1",5.52482523420245e-10,0.358531274819488,0.942,0.889,2.02214128397044e-05
"GAS6",5.54790401306197e-10,0.736690419109811,0.865,0.844,2.03058834782081e-05
"STK39",5.66737118311003e-10,1.02424311732753,0.898,0.794,2.0743145267301e-05
"ZMYM4-AS1",5.70520479504034e-10,1.50579587653629,0.338,0.15,2.08816200703272e-05
"KRT18",5.76346675183595e-10,1.18792009195177,0.884,0.801,2.10948646583947e-05
"QSER1",5.7855272462867e-10,0.521610418703913,0.844,0.65,2.1175608274134e-05
"TEAD4",5.85489790623819e-10,0.928575833177621,0.615,0.391,2.14295118266224e-05
"EHHADH",5.85740619151724e-10,0.981382017464433,0.418,0.211,2.14386924015723e-05
"AHCYL2",5.86626719449388e-10,1.29138432987267,0.691,0.558,2.14711245585671e-05
"ZNF213-AS1",5.91033385270447e-10,0.696670657845333,0.425,0.221,2.16324129342836e-05
"CEPT1",5.9450284327708e-10,0.691081816427513,0.738,0.54,2.17593985667844e-05
"TAOK3",5.9500541827582e-10,0.49014881450568,0.913,0.866,2.17777933143133e-05
"ENO4",5.95804318792199e-10,2.83174331319062,0.32,0.152,2.18070338721133e-05
"CARS-AS1",5.98221028139101e-10,3.45803885672331,0.131,0.028,2.18954878509192e-05
"ABCA3",5.98778824938766e-10,2.9503330073691,0.164,0.046,2.19159037715838e-05
"KDM2B-DT",5.99651412506149e-10,2.37270043543711,0.135,0.029,2.19478413491376e-05
"OCRL",6.01800993298755e-10,1.06460192913906,0.589,0.37,2.20265181557277e-05
"ZNF91",6.02018398222884e-10,0.924033368650951,0.822,0.64,2.20344753933558e-05
"ZNF106",6.10558967843833e-10,0.489983571273355,0.916,0.857,2.23470687820521e-05
"UBA52",6.13150683609868e-10,-0.323172049000515,0.913,0.962,2.24419281708048e-05
"SARM1",6.15003621332367e-10,0.215554082150719,0.444,0.243,2.2509747544386e-05
"DUSP16",6.16532214390758e-10,2.02694351094915,0.571,0.379,2.25656955789161e-05
