"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SIGLEC1",4.74079882785953e-09,1.79311689242087,0.447,0.08,0.000173517977898487
"KCNMA1-AS1",4.78000968155833e-09,3.2144499835078,0.237,0.011,0.000174953134354716
"XPR1",4.8217405506224e-09,2.01230031398342,0.684,0.261,0.000176480525893331
"SETDB2",4.83212639913464e-09,2.60734226531695,0.553,0.154,0.000176860658334727
"ETV6",4.85631390733423e-09,2.2961545041072,0.763,0.335,0.00017774594532234
"RPL6",4.86846681440693e-09,-1.25501156182781,0.921,0.915,0.000178190753874108
"SCAPER",4.89400692332738e-09,1.48535522923422,0.605,0.186,0.000179125547400705
"NCOR2",4.89710956807235e-09,2.0110709860777,0.737,0.303,0.000179239107301016
"TADA2A",4.9280261889908e-09,2.82047472231847,0.5,0.122,0.000180370686543252
"AC068587.4",4.93812221624344e-09,3.21228538760326,0.526,0.138,0.000180740211236726
"SNX27",4.96874521998891e-09,1.42573641352658,0.684,0.266,0.000181861043796814
"MED15",4.98538613859328e-09,2.08840775065221,0.658,0.223,0.000182470118058652
"ACSL1",5.03605746606541e-09,2.26738239334075,0.789,0.426,0.00018432473931546
"TMEM63A",5.06259722824801e-09,1.62341305851995,0.632,0.207,0.000185296121151105
"HINT1",5.08528296915837e-09,-2.28824384434089,0.684,0.803,0.000186126441954165
"PTPRJ",5.13152560204282e-09,1.94709061400645,0.763,0.335,0.000187818968560369
"CPT1A",5.13566153808543e-09,1.2715905826987,0.763,0.309,0.000187970347955465
"KCNQ1",5.14054650383908e-09,1.88189902133968,0.421,0.074,0.000188149142587014
"TMEM245",5.21597378229711e-09,1.48646670818145,0.711,0.261,0.000190909856405856
"DOCK2",5.3144909140592e-09,2.15654483963169,0.658,0.234,0.000194515681945481
"CSNK1G1",5.3157437197076e-09,1.63030870125595,0.684,0.261,0.000194561535885018
"SYNRG",5.31818107909541e-09,1.24045956604702,0.711,0.261,0.000194650745675971
"WDR26",5.3827246419911e-09,2.22578314123442,0.711,0.298,0.000197013104621516
"CACUL1",5.47515477809526e-09,1.48133380448939,0.684,0.266,0.000200396140033065
"SFMBT1",5.50761666568565e-09,1.47865507475317,0.5,0.112,0.00020158427758076
"OTULINL",5.511969119389e-09,2.11676452757232,0.447,0.085,0.000201743581738757
"RBM33",5.58229847762581e-09,1.83326164789141,0.684,0.266,0.000204317706579582
"BRAF",5.61151289768092e-09,1.78173236341582,0.711,0.282,0.000205386983568019
"ZSCAN5A",5.63618470526342e-09,1.920653652908,0.526,0.144,0.000206289996397347
"MEGF9",5.73840600398603e-09,2.29083717130555,0.658,0.239,0.000210031398151893
"SPEN",5.74608219108059e-09,2.25699275640851,0.684,0.261,0.00021031235427574
"MARF1",5.79732823328258e-09,1.40426330308958,0.632,0.202,0.000212188010666376
