"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Direction"
"SSBP1",8.06391254650146e-09,0.431532893831262,0.432,0.296,0.0002951472631145,"Up_in_3D"
"COMT",8.06730465776219e-09,0.577443199886878,0.342,0.224,0.000295271417778754,"Up_in_3D"
"AHNAK",8.16389333050217e-09,-1.34871976451626,0.286,0.39,0.00029880665978971,"Up_in_2D"
"MDH1",9.29165677663692e-09,0.424622192622437,0.42,0.287,0.000340083929681688,"Up_in_3D"
"CSF1",9.80512683716592e-09,-1.94109791374711,0.077,0.172,0.00035887744736711,"Up_in_2D"
"C3",9.92834768639284e-09,-0.857619755025557,0.473,0.526,0.000363387453669664,"Up_in_2D"
"ACY1",1.02331897395545e-08,0.639118132343508,0.329,0.215,0.000374544977657433,"Up_in_3D"
"ZSWIM6",1.05595227704353e-08,0.969388613200959,0.27,0.156,0.000386489092920701,"Up_in_3D"
"RPL36A",1.05690720164427e-08,0.362042139290008,0.732,0.572,0.000386838604873819,"Up_in_3D"
"H2AFJ",1.12520149820787e-08,0.47301579347786,0.297,0.179,0.000411835000359064,"Up_in_3D"
"TCAF1",1.15226119649713e-08,-1.75013230212049,0.133,0.239,0.000421739120529916,"Up_in_2D"
"RPS29",1.18431089313353e-08,0.352429889849001,0.797,0.674,0.000433469629995805,"Up_in_3D"
"PSD3",1.26326639661545e-08,0.933474267846738,0.35,0.216,0.000462368133825222,"Up_in_3D"
"PSMC5",1.3150593739962e-08,0.425147804308689,0.292,0.172,0.00048132488147635,"Up_in_3D"
"SELENOK",1.36047725194763e-08,0.790280522119077,0.273,0.163,0.000497948278985354,"Up_in_3D"
"DPM3",1.38515050886757e-08,0.829093658421822,0.197,0.103,0.000506978937750619,"Up_in_3D"
"WNK1",1.41263561343392e-08,-1.48269601146775,0.232,0.332,0.00051703876087295,"Up_in_2D"
"ONECUT2",1.42555497184928e-08,-1.94175363725753,0.08,0.176,0.000521767375246556,"Up_in_2D"
"FP236383.3",1.49651323961879e-08,-1.43842498138593,0.085,0.183,0.000547738810832874,"Up_in_2D"
"NAT8",1.52093007567122e-08,1.06685383493954,0.167,0.079,0.000556675616996424,"Up_in_3D"
"AURKAIP1",1.55639873019017e-08,0.360891841985234,0.444,0.295,0.000569657499236905,"Up_in_3D"
"RAB13",1.56327346573608e-08,0.389414778623256,0.415,0.279,0.000572173721194062,"Up_in_3D"
"CXCL6",1.61161762030988e-08,-2.92008749442152,0.076,0.164,0.00058986816520962,"Up_in_2D"
"AC092069.1",1.62538389763117e-08,1.18978180111049,0.148,0.066,0.000594906760371985,"Up_in_3D"
"AKR1A1",1.62649435938456e-08,0.606304821876546,0.373,0.256,0.000595313200478343,"Up_in_3D"
"SNCG",1.65867037608498e-08,0.45588499039727,0.383,0.249,0.000607089944350864,"Up_in_3D"
"REEP5",1.67119245082542e-08,0.324202606947055,0.497,0.347,0.000611673148926613,"Up_in_3D"
"RPL22",1.72618420195664e-08,0.335742564520982,0.795,0.657,0.00063180067975815,"Up_in_3D"
"TIMP1",1.86445163528637e-08,0.738682559839465,0.748,0.582,0.000682407943031165,"Up_in_3D"
"GSTM3",1.87975806368482e-08,0.559846637635538,0.262,0.149,0.00068801024888928,"Up_in_3D"
"TMEM14C",1.92396330729736e-08,0.386755654314384,0.389,0.25,0.000704189810103906,"Up_in_3D"
"RPL6",1.95641535687054e-08,0.297586997932288,0.839,0.755,0.000716067584768186,"Up_in_3D"
"PTS",1.99747989072327e-08,0.563486322680734,0.329,0.214,0.000731097614803624,"Up_in_3D"
"PDLIM2",2.00043438586567e-08,0.846797770558367,0.232,0.132,0.000732178989570694,"Up_in_3D"
"CYBA",2.05694012066045e-08,0.614972365735225,0.124,0.047,0.000752860653562932,"Up_in_3D"
"IL32",2.07653921481126e-08,0.45265782296318,0.833,0.741,0.000760034118013068,"Up_in_3D"
"NOP10",2.20077991870508e-08,0.283307142874821,0.459,0.3,0.000805507458045248,"Up_in_3D"
"ARHGAP5",2.252251708987e-08,-1.56233944416213,0.186,0.289,0.00082434664800633,"Up_in_2D"
"RPS25",2.30945959107054e-08,0.33030573390855,0.779,0.624,0.000845285304927727,"Up_in_3D"
"CRYAB",2.43573451573235e-08,1.25518550820102,0.18,0.089,0.000891503190103197,"Up_in_3D"
"PCM1",2.43702749860457e-08,-1.74944130333618,0.188,0.287,0.000891976434764257,"Up_in_2D"
"COL6A1",2.46462821690208e-08,-1.99017090457065,0.114,0.213,0.00090207857366833,"Up_in_2D"
"ERCC1",2.48094047546038e-08,1.07180543361312,0.215,0.12,0.000908049023423254,"Up_in_3D"
"POLR2F",2.52395973413508e-08,0.529833192138435,0.311,0.195,0.000923794502290779,"Up_in_3D"
"GPT",2.52833612138136e-08,0.70065375605877,0.227,0.127,0.000925396303786792,"Up_in_3D"
"APOA2",2.61713776898957e-08,-0.29602448036777,0.735,0.829,0.000957898594827874,"Up_in_2D"
"PRDX3",2.65611954014982e-08,0.357812119385913,0.4,0.265,0.000972166312890234,"Up_in_3D"
"KRT8",2.83043528215193e-08,0.49990124691775,0.864,0.802,0.00103596761762043,"Up_in_3D"
"MPG",2.88509433717198e-08,0.779613655762173,0.267,0.162,0.00105597337834832,"Up_in_3D"
"FKBP8",2.94712492996678e-08,0.417983201893882,0.303,0.189,0.00107867719561714,"Up_in_3D"
"GPAT4",2.97093796617244e-08,-2.49884603601111,0.091,0.183,0.00108739300499878,"Up_in_2D"
"BAAT",3.00745918659934e-08,-1.45823257638791,0.209,0.311,0.00110076013688722,"Up_in_2D"
"MYH10",3.19160367495144e-08,-2.06626472355449,0.097,0.193,0.00116815886106898,"Up_in_2D"
"CDK14",3.30162554734021e-08,0.60542024346905,0.315,0.191,0.00120842796658199,"Up_in_3D"
"SEC61G",3.31709053695214e-08,0.327791421347581,0.582,0.406,0.00121408830742985,"Up_in_3D"
"MRPS18C",3.41273078194031e-08,0.602061192247325,0.273,0.166,0.00124909359349797,"Up_in_3D"
"PSMB7",3.48050843821331e-08,0.359687934986717,0.427,0.297,0.00127390089347046,"Up_in_3D"
"SOD1",3.55631527789849e-08,0.335942428486834,0.689,0.524,0.00130164695486362,"Up_in_3D"
"COL1A2",3.60063506813533e-08,-1.03870023952598,0.512,0.561,0.00131786844128821,"Up_in_2D"
"RGN",3.60736628188811e-08,1.35592819912692,0.205,0.114,0.00132033213283387,"Up_in_3D"
"COMTD1",3.7887977467811e-08,0.624131415499776,0.288,0.181,0.00138673786329935,"Up_in_3D"
"A2M",3.79342009251258e-08,-1.64118244248673,0.208,0.308,0.00138842968806053,"Up_in_2D"
"MT-ATP8",4.04438746369922e-08,0.236016676519342,0.845,0.664,0.00148028625558855,"Up_in_3D"
"S100A16",4.13393346877362e-08,0.361849589126203,0.538,0.378,0.00151306098890583,"Up_in_3D"
"MRPS34",4.19610173558345e-08,0.407360927712475,0.326,0.209,0.0015358151962409,"Up_in_3D"
"EIF3A",4.29869317133799e-08,-1.30624281074163,0.371,0.447,0.00157336468764142,"Up_in_2D"
"TRIO",4.53234314148476e-08,0.329995678873876,0.405,0.253,0.00165888291321484,"Up_in_3D"
"TMED9",4.62614921571842e-08,0.251135487204394,0.415,0.272,0.0016932168744451,"Up_in_3D"
"EEF1A2",4.6920051530277e-08,0.83406133084698,0.118,0.045,0.00171732080605967,"Up_in_3D"
"LAMTOR1",4.771859885017e-08,0.313529738414506,0.321,0.205,0.00174654843651507,"Up_in_3D"
"IDH2",4.93538898633624e-08,0.369220599285704,0.395,0.273,0.00180640172288893,"Up_in_3D"
"RBX1",4.95026783200684e-08,0.342161712606735,0.406,0.275,0.00181184752919282,"Up_in_3D"
"SPDYA",5.31058802278065e-08,2.67111038474344,0.127,0.054,0.00194372832221795,"Up_in_3D"
"SAP18",5.35944566609403e-08,0.362131785402734,0.403,0.267,0.00196161070824708,"Up_in_3D"
"PSAP",5.37962596444492e-08,-0.998579280878116,0.448,0.515,0.00196899689924649,"Up_in_2D"
"RPS3A",5.42628354603874e-08,0.306844634421575,0.836,0.73,0.00198607404068564,"Up_in_3D"
"POLR2E",5.55279507122747e-08,0.397702687878501,0.333,0.218,0.00203237852401997,"Up_in_3D"
"ADIRF",5.67249227177558e-08,0.857914019652839,0.18,0.092,0.00207618889639258,"Up_in_3D"
"YIF1A",5.84253331207296e-08,0.327246611729691,0.309,0.194,0.00213842561755182,"Up_in_3D"
"MRPS12",5.96820091656017e-08,0.290253973960635,0.308,0.189,0.00218442121747019,"Up_in_3D"
"VKORC1",6.0694217445178e-08,0.339089781113424,0.388,0.258,0.00222146905271096,"Up_in_3D"
"PET100",6.12496810321087e-08,0.180905879995481,0.335,0.211,0.00224179957545621,"Up_in_3D"
"COPZ1",6.38932222568501e-08,0.498447689317288,0.291,0.182,0.00233855582782297,"Up_in_3D"
"LARP6",6.49857543484584e-08,0.933044933216048,0.174,0.088,0.00237854359490793,"Up_in_3D"
"PHC3",6.5332668415818e-08,-2.40140957552766,0.082,0.169,0.00239124099668736,"Up_in_2D"
"MSRA",6.95807757634121e-08,0.679387518034674,0.28,0.171,0.00254672597371665,"Up_in_3D"
"SLC25A11",6.96614869701517e-08,0.789343065985708,0.182,0.094,0.00254968008459452,"Up_in_3D"
"MICOS13",7.30005673883156e-08,0.192091930769973,0.386,0.248,0.00267189376697974,"Up_in_3D"
"MEG3",7.5105753711158e-08,1.02905484414213,0.103,0.036,0.00274894569158209,"Up_in_3D"
"UBE2A",7.51629599656018e-08,0.866505035309353,0.259,0.16,0.00275103949770099,"Up_in_3D"
"NDUFA11",7.75661860903266e-08,0.217990445709565,0.545,0.373,0.00283899997709204,"Up_in_3D"
