"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ATP5ME",6.08387221665686e-14,-0.453720827621468,0.375,0.591,2.22675807001858e-09
"ASL",6.11498839796832e-14,-0.561290273542973,0.308,0.488,2.23814690354038e-09
"ARL6IP4",6.13703086440941e-14,-0.548098888931121,0.271,0.453,2.24621466668249e-09
"PHPT1",6.19768677400676e-14,-0.575755952255488,0.274,0.461,2.26841533615422e-09
"VDAC2",6.63406597613484e-14,-0.635257297305995,0.349,0.547,2.42813448792511e-09
"FST",7.14062999710704e-14,-1.54148592482359,0.051,0.159,2.61354198524115e-09
"THBS1",7.18444587157047e-14,2.32162346836406,0.262,0.123,2.62957903345351e-09
"COX4I1",7.24666179823977e-14,-0.563064004602695,0.544,0.715,2.65235068477374e-09
"KRTCAP2",8.20564649667325e-14,-0.604653312108521,0.217,0.391,3.00334867424738e-09
"SNU13",9.57180269252866e-14,-0.665778137084224,0.249,0.418,3.50337550349241e-09
"CCDC80",1.37798625370233e-13,2.50242427422312,0.246,0.114,5.04356748717591e-09
"PGLS",1.43672519809237e-13,-0.616362244772678,0.215,0.38,5.25855789753787e-09
"MDH2",1.47610985423853e-13,-0.550052007554841,0.336,0.527,5.40270967749844e-09
"MRPS7",1.58369642668129e-13,-0.769359220350874,0.157,0.303,5.7964872912962e-09
"ACAA1",1.67900029724862e-13,-0.624645144385964,0.259,0.426,6.14530898795967e-09
"CST3",1.75440273811335e-13,-0.547025412289186,0.386,0.595,6.42128946176869e-09
"RPL37",1.77154416961896e-13,-0.462204368646434,0.789,0.864,6.48402881522236e-09
"NDUFB11",1.87895155744131e-13,-0.51391361140168,0.236,0.417,6.87715059539095e-09
"SAA4",1.94553374528504e-13,-0.635785482377638,0.638,0.791,7.12084806111778e-09
"TALDO1",2.22425997542911e-13,-0.522271357746356,0.325,0.52,8.14101393606808e-09
"ETFB",2.23531083870774e-13,-0.494095502303797,0.426,0.63,8.18146120075421e-09
"PPIA",2.28835485779649e-13,-0.515586968237518,0.672,0.823,8.37560761502093e-09
"GAL",2.74932538775983e-13,-2.42285583158667,0.04,0.138,1.00628058517397e-08
"FN1",2.80237894183455e-13,0.575240863507304,0.926,0.93,1.02569871650087e-08
"PRDX5",3.14657817464014e-13,-0.451552310432316,0.366,0.586,1.15167907770004e-08
"RPL11",3.19731377005587e-13,-0.46189272113073,0.77,0.859,1.17024881297815e-08
"MT1E",3.3892558412066e-13,-0.68190841022977,0.725,0.798,1.24050153044003e-08
"APOA1",3.42346935083046e-13,-0.339550110114454,0.272,0.476,1.25302401709746e-08
"ACMSD",3.42634353460799e-13,-1.22383239301343,0.171,0.314,1.25407599710187e-08
"COPE",3.65031881344495e-13,-0.541959526900491,0.257,0.435,1.33605318890899e-08
"IFITM2",3.74282701944614e-13,-0.536513419171788,0.359,0.574,1.36991211738748e-08
"RPL13A",4.32442639905001e-13,0.526331807298348,0.831,0.785,1.58278330631629e-08
"DYNLT1",4.5304509438926e-13,-0.607560592011672,0.293,0.47,1.65819034997413e-08
"COL4A1",4.60450238017978e-13,2.42258356603624,0.228,0.098,1.6852939161696e-08
"SOD2",4.65057391126171e-13,0.366520817615267,0.981,0.962,1.7021565572609e-08
"RPL27",4.66390826724129e-13,-0.516591442101352,0.583,0.756,1.70703706489299e-08
"S100A9",4.69477422262624e-13,-0.725340840068925,0.194,0.361,1.71833431322343e-08
"RPL15",4.90295864821282e-13,-0.435544038511741,0.684,0.823,1.79453189483238e-08
"RPL18A",4.92487680342951e-13,-0.419275906167041,0.7,0.83,1.80255415882324e-08
"EIF3K",5.02155993200223e-13,-0.537169010568841,0.347,0.532,1.83794115071214e-08
"SUCLG1",5.07462958245922e-13,-0.779727893096098,0.235,0.386,1.8573651734759e-08
"TMEM176A",5.16295425087331e-13,-0.566832049767129,0.254,0.432,1.88969288536214e-08
"MTLN",5.7467921536638e-13,-0.77350166885713,0.145,0.288,2.10338339616249e-08
"CPD",5.93217930695362e-13,1.85504295332321,0.349,0.217,2.1712369481381e-08
"SNHG6",5.95645837460592e-13,-0.591362675303862,0.233,0.405,2.18012332968951e-08
"DSG2",6.15827867911812e-13,2.73622892987256,0.251,0.121,2.25399157934402e-08
"RNF7",6.17241071154436e-13,-0.793366114181361,0.185,0.33,2.25916404453235e-08
"EIF4G2",6.19084089898906e-13,1.25019330104594,0.494,0.371,2.26590967743899e-08
"AKR1B10",6.41750404130746e-13,-0.719245297642384,0.31,0.498,2.34887065415894e-08
"SLIRP",7.04925724774163e-13,-0.481696864706717,0.329,0.52,2.58009864524592e-08
"NDUFB7",7.24048959807402e-13,-0.462110054000016,0.317,0.506,2.65009159779107e-08
