"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CCDC51",1.59426669825522e-07,-2.1139256024344,0.019,0.106,0.00583517554228393
"UTP18",1.61007839904328e-07,-1.53013113479638,0.024,0.115,0.00589304794833832
"ZNF706",1.68731139972839e-07,-0.811806921227298,0.132,0.295,0.0061757284541459
"FIS1",1.69155211681439e-07,-0.675310548294569,0.182,0.365,0.00619124990275236
"FABP5",1.71320664933733e-07,-0.335740846742322,0.051,0.17,0.00627050765723955
"MCRIP1",1.72818688405484e-07,-0.980151387682977,0.066,0.192,0.0063253368143291
"DAD1",1.73621006145707e-07,-0.401773890364925,0.301,0.519,0.00635470244593903
"ZSWIM6",1.73645649375245e-07,-1.4618505031174,0.058,0.176,0.00635560441278334
"EDF1",1.75549080793521e-07,-0.56387259672482,0.415,0.644,0.00642527190612368
"FBXO2",1.76055140663824e-07,-1.68141567542912,0.045,0.154,0.00644379420343662
"VTA1",1.77720593861037e-07,-0.715608456911871,0.049,0.163,0.00650475145590781
"GHITM",1.78971296252813e-07,-0.520398375885621,0.235,0.442,0.00655052841414919
"PACSIN3",1.79151566787867e-07,-2.24289094467991,0.019,0.106,0.00655712649600274
"TAF9",1.80217288219596e-07,-0.801263713233793,0.105,0.253,0.00659613296612543
"CZIB",1.80633812095183e-07,-1.28256069524643,0.041,0.147,0.00661137815649578
"CIAO2B",1.81873103875163e-07,-0.71366590053637,0.186,0.369,0.00665673747493486
"GLUL",1.82067240221108e-07,-0.571000453263144,0.088,0.228,0.00666384305933277
"RPS3A",1.84582623724439e-07,-0.190280320030375,0.756,0.92,0.00675590861093818
"PET100",1.85636976018441e-07,-0.790407077033354,0.145,0.311,0.00679449895925096
"YPEL3",1.94022360906296e-07,-1.19067488620533,0.032,0.131,0.00710141243153133
"FKBP8",1.96186843236345e-07,-0.376395281467779,0.107,0.26,0.00718063464929347
"FSTL3",1.98646785828256e-07,-0.699090519078367,0.135,0.298,0.00727067100810001
"MRPL47",1.99118980506215e-07,-0.442621863446047,0.105,0.256,0.00728795380550797
"CYHR1",1.99410401751808e-07,-1.58494851506904,0.026,0.119,0.00729862011451791
"BET1",2.00955092820668e-07,-1.45008269405189,0.032,0.131,0.00735515735232928
"PSMC3",2.03980586037906e-07,-0.546821919053244,0.132,0.292,0.0074658934295734
"EGR1",2.04435659920745e-07,-1.76260963316184,0.026,0.119,0.00748254958875918
"PSAP",2.05540517491069e-07,1.30143395261735,0.4,0.247,0.00752298848069063
"TMBIM4",2.0563141623461e-07,-0.6563885695947,0.096,0.24,0.00752631546560296
"NDUFA6",2.06845373033126e-07,-0.582153254543194,0.156,0.327,0.00757074749838546
"GCSH",2.09577965450663e-07,-0.602939331343933,0.156,0.327,0.0076707631134597
"HIGD2A",2.10750444306867e-07,-0.672925715190963,0.152,0.324,0.00771367701207566
"SLBP",2.11272024630007e-07,-1.06962089380916,0.041,0.147,0.00773276737348288
"KCMF1",2.1550717521319e-07,-0.802789531957945,0.077,0.208,0.00788777811997796
"TPRKB",2.17369718082831e-07,-1.40594617871062,0.053,0.17,0.00795594905154969
"ARPC3",2.21016535952473e-07,-0.531328559101705,0.372,0.593,0.00808942623239646
"ARPC5L",2.23764733281882e-07,-0.70030470305608,0.105,0.253,0.00819001300285015
"STMN1",2.2444474272125e-07,-1.02649645215056,0.049,0.163,0.00821490202834048
"MAGED2",2.25488275081265e-07,-0.841526857820761,0.075,0.205,0.00825309635624938
"NDUFA3",2.2586301761959e-07,-0.904467066464743,0.137,0.295,0.0082668123078946
"ERI3",2.30496353209508e-07,-0.679697640335294,0.041,0.147,0.0084363970238212
"APOBEC3C",2.42513761769838e-07,-1.40122674230673,0.028,0.122,0.00887624619453786
"AKR7A2",2.44723048174529e-07,-1.3332696648092,0.058,0.173,0.00895710828623595
"NDUFB6",2.45303196242051e-07,-0.671819429964017,0.113,0.269,0.00897834228565529
"TFG",2.45637116486367e-07,-0.459568692618318,0.158,0.337,0.0089905641005175
"HACD1",2.47846057680488e-07,-1.27229125786598,0.034,0.135,0.00907141355716353
"STAG1",2.48981045386854e-07,-1.47643152392728,0.053,0.167,0.00911295524220425
"UQCRC2",2.51261565735634e-07,-0.637745017206322,0.135,0.295,0.00919642456748993
"RPL39",2.51927612439133e-07,-0.219199354577897,0.816,0.942,0.0092208025428847
"NDUFAF3",2.52300399591405e-07,-0.782719867060089,0.12,0.276,0.00923444692544502
"CHMP4A",2.54116192475585e-07,-0.885388953455144,0.073,0.202,0.0093009067607989
"COX20",2.54833347564873e-07,-0.572152559587586,0.143,0.314,0.00932715535422192
"PDRG1",2.56261445215536e-07,-1.25314935698587,0.021,0.109,0.00937942515633382
"CMSS1",2.57006278253628e-07,-1.0794303374008,0.045,0.154,0.00940668679036102
"SLC35C2",2.63000357034922e-07,-1.11734798963808,0.021,0.109,0.00962607606783519
"MED11",2.67106422948292e-07,-1.63761072518075,0.03,0.125,0.00977636218633043
"CD151",2.68724588783446e-07,-0.643532909465328,0.254,0.442,0.0098355886740629
"MTMR14",2.71078858256967e-07,-1.46652311371377,0.021,0.109,0.00992175729106326
"HMGB3",2.71844139041536e-07,-0.911804539675762,0.081,0.215,0.00994976733305925
"H1FX",2.80272451685846e-07,-1.24669670065215,0.049,0.16,0.0102582520041536
"KLF6",2.94308553041778e-07,-0.545026233967116,0.197,0.375,0.0107719873498821
"C8orf33",2.954316314934e-07,-0.639318457021416,0.056,0.173,0.0108130931442899
"SSU72",2.98427422114509e-07,-0.581880565526495,0.132,0.295,0.0109227420768131
"AP2S1",2.98457756253755e-07,-0.571063790292748,0.293,0.503,0.0109238523366437
"CUEDC2",2.98813124411695e-07,-0.687245612036355,0.062,0.183,0.0109368591665925
"DPM1",2.99760610243131e-07,-0.946811988945013,0.062,0.183,0.0109715380955088
"TSTA3",3.00541108836499e-07,-0.873670459206912,0.111,0.256,0.0110001051245247
"CD44",3.01979981051528e-07,-0.562326975239857,0.094,0.237,0.011052769286467
"SMIM29",3.05391830777668e-07,-1.53912055850442,0.041,0.144,0.0111776463982934
"ATP5PF",3.06242021043107e-07,-0.55188964052107,0.376,0.59,0.0112087642121988
"STUB1",3.14584257838984e-07,-0.622400198321523,0.141,0.304,0.0115140984211646
"HOMER3",3.18905049326018e-07,-0.65123911605781,0.073,0.202,0.0116722437103816
"SMARCB1",3.27275698905609e-07,-1.03425387985995,0.058,0.176,0.0119786178556442
"FAM204A",3.30152418289093e-07,-0.45608990202687,0.077,0.208,0.0120839086617991
"NCBP2AS2",3.32564978135101e-07,-1.32484625609218,0.024,0.112,0.0121722107647228
"CEBPZ",3.34148692576558e-07,-1.33351258299917,0.064,0.183,0.0122301762969946
"CUX2",3.38976625255619e-07,-2.23591481417545,0.036,0.135,0.0124068834609809
"ERH",3.40095101793331e-07,-0.434524986910049,0.169,0.349,0.0124478208207377
"CFAP298",3.40174823489685e-07,-0.898258669155566,0.058,0.176,0.0124507387145459
"DHRS4L2",3.41911731626551e-07,-0.677546171861628,0.051,0.163,0.0125143112892634
"AHCY",3.42786387606593e-07,-0.906953004807548,0.056,0.17,0.0125463245727889
"PEPD",3.45224016184702e-07,-0.806463970709588,0.165,0.327,0.0126355442163763
"ZRANB2",3.45606038882521e-07,-0.367470946579404,0.094,0.237,0.0126495266291391
"FH",3.50152589886859e-07,-1.34567451969056,0.056,0.17,0.0128159349424489
