"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Direction"
"SOX4",1.49640397185372e-15,0.586815509276172,0.891,0.84,5.47698817738179e-11,"Up_in_3D"
"NDUFC2",1.59011425510608e-15,0.460058189429805,0.932,0.855,5.81997718511375e-11,"Up_in_3D"
"LAMA2",1.66037840962606e-15,0.471417555387475,0.788,0.618,6.07715101707234e-11,"Up_in_3D"
"EFCAB14",1.75049204030507e-15,-0.616656409626077,0.704,0.869,6.4069759167206e-11,"Up_in_2D"
"BSG",1.83304426883798e-15,0.553015172903175,0.94,0.858,6.70912532837388e-11,"Up_in_3D"
"ANKFY1",1.84467584690218e-15,-0.805759376175671,0.64,0.847,6.75169806724666e-11,"Up_in_2D"
"MELTF",1.86199699272634e-15,-0.751700767826003,0.295,0.553,6.81509519307769e-11,"Up_in_2D"
"FBXL5",1.92062245587952e-15,-0.755000333105372,0.773,0.891,7.02967025076464e-11,"Up_in_2D"
"FAM167B",1.9486716663663e-15,-3.16388205555976,0.068,0.255,7.13233316606731e-11,"Up_in_2D"
"SYNRG",1.97449595932248e-15,-0.973001851999149,0.702,0.869,7.22685266071619e-11,"Up_in_2D"
"AC104162.2",2.08711945900359e-15,-1.69034043842393,0.229,0.495,7.63906593189906e-11,"Up_in_2D"
"ZNF823",2.12158910880843e-15,-1.93381873658585,0.093,0.298,7.76522829714974e-11,"Up_in_2D"
"ARSJ",2.12827242330201e-15,-1.36530750541994,0.563,0.782,7.78968989652768e-11,"Up_in_2D"
"ADGRL2",2.12849300435631e-15,-0.95204805313117,0.665,0.88,7.79049724524452e-11,"Up_in_2D"
"VAPA",2.13195587561138e-15,0.337919728106209,0.931,0.96,7.80317170032522e-11,"Up_in_3D"
"WAPL",2.19747690082002e-15,-0.688973536542277,0.792,0.92,8.04298520469134e-11,"Up_in_2D"
"PIK3C2A",2.23735968062831e-15,-0.764330690032701,0.835,0.938,8.18896016706767e-11,"Up_in_2D"
"TUFM",2.27436270189563e-15,0.516069608205985,0.901,0.822,8.3243949252082e-11,"Up_in_3D"
"AC019130.1",2.3704003524483e-15,-2.58543284491679,0.108,0.32,8.67590232999604e-11,"Up_in_2D"
"PRRX1",2.45634960693473e-15,0.755926691024247,0.763,0.556,8.99048519634182e-11,"Up_in_3D"
"UEVLD",2.48000010841736e-15,-1.2128984143291,0.527,0.771,9.07704839681839e-11,"Up_in_2D"
"UBXN1",2.61117924240601e-15,0.440151328119689,0.897,0.844,9.55717714513024e-11,"Up_in_3D"
"DIP2A",2.72045396031509e-15,-1.03299642158007,0.615,0.822,9.95713354014926e-11,"Up_in_2D"
