"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Direction"
"UCHL1",8.968258058638e-07,0.49995849940596,0.356,0.175,0.0328247213204209,"Up_in_3D"
"JMJD1C",9.02416703376353e-07,0.772497697614906,0.269,0.124,0.0330293537602779,"Up_in_3D"
"EEF1E1",9.19847790960132e-07,0.92875785968579,0.186,0.068,0.0336673489969318,"Up_in_3D"
"COMMD1",9.36929132093578e-07,0.552518608616862,0.196,0.073,0.0342925431637571,"Up_in_3D"
"SNRNP70",9.46585175474061e-07,1.25943101392522,0.205,0.083,0.0346459640075261,"Up_in_3D"
"ZNF580",9.50998417299342e-07,0.996921217233662,0.131,0.036,0.0348074930715732,"Up_in_3D"
"ITM2C",9.64907264809435e-07,1.42846555940296,0.131,0.036,0.0353165707992901,"Up_in_3D"
"SMIM20",9.67072392474865e-07,0.510116791280457,0.163,0.053,0.0353958166369725,"Up_in_3D"
"COX6A1",9.72066669002275e-07,0.491905795580178,0.558,0.338,0.0355786121521523,"Up_in_3D"
"EXOSC7",9.74435644756626e-07,1.48355940285363,0.135,0.038,0.0356653190337373,"Up_in_3D"
"ECI2",9.90658362582435e-07,0.652046515797812,0.218,0.088,0.0362590867288797,"Up_in_3D"
"PRDX4",9.94356027786296e-07,0.548956548588918,0.353,0.186,0.0363944249730062,"Up_in_3D"
"MRPL9",9.96669817711833e-07,1.2283893850389,0.157,0.051,0.0364791119980708,"Up_in_3D"
"DDX52",9.9706528365421e-07,0.764969163001958,0.17,0.058,0.0364935864470278,"Up_in_3D"
"PHYH",9.99379764725032e-07,0.673910285746078,0.154,0.049,0.0365782987687009,"Up_in_3D"
"CCDC91",1.00016550694833e-06,0.953710382911688,0.192,0.073,0.0366070577198156,"Up_in_3D"
"DUSP1",1.0099890854438e-06,0.654001691420608,0.324,0.165,0.0369666105163284,"Up_in_3D"
"COL4A1",1.01320392064431e-06,-2.10638566641714,0.141,0.269,0.0370842766995023,"Up_in_2D"
"PAM16",1.01474712014618e-06,0.954992802936164,0.186,0.068,0.0371407593444702,"Up_in_3D"
"MARCKSL1",1.05097433113558e-06,0.412348648195019,0.26,0.113,0.0384667114938935,"Up_in_3D"
"RGS9",1.05135900003006e-06,1.48699972629803,0.119,0.03,0.0384807907601003,"Up_in_3D"
"EIF3I",1.07606787846479e-06,0.592807984506065,0.359,0.186,0.0393851604196898,"Up_in_3D"
"CD2BP2",1.09184386619834e-06,1.00837640270512,0.157,0.051,0.0399625773467256,"Up_in_3D"
"POP4",1.09309883344205e-06,0.420437512360866,0.128,0.034,0.0400085104028123,"Up_in_3D"
"PER1",1.10087944941089e-06,1.1656610998848,0.103,0.021,0.0402932887278879,"Up_in_3D"
"SAMM50",1.12935011244888e-06,0.276067548538224,0.163,0.053,0.0413353434657416,"Up_in_3D"
"UBE2D2",1.13523088780359e-06,0.594676522561957,0.269,0.122,0.0415505857244993,"Up_in_3D"
"EMC2",1.1414671127741e-06,0.636970360789046,0.147,0.045,0.0417788377946447,"Up_in_3D"
"RASSF8",1.14765148767742e-06,0.644001046944688,0.176,0.062,0.0420051921004812,"Up_in_3D"
"TGFB1",1.15149903618528e-06,0.9712770561568,0.154,0.049,0.0421460162234174,"Up_in_3D"
"MORF4L1",1.15542426937344e-06,0.497033869459462,0.522,0.301,0.0422896836833373,"Up_in_3D"
"CRP",1.1561689100102e-06,-1.07674692999416,0.163,0.316,0.0423169382752834,"Up_in_2D"
"CAV1",1.15873467197213e-06,0.283771007931264,0.349,0.173,0.0424108477288519,"Up_in_3D"
"BANF1",1.1629939944355e-06,0.427058660152561,0.292,0.137,0.0425667431903339,"Up_in_3D"
"CRIPT",1.18087937410774e-06,0.854554379972989,0.135,0.038,0.0432213659717174,"Up_in_3D"
"NAA10",1.18259488454865e-06,0.845013136611671,0.282,0.135,0.0432841553693652,"Up_in_3D"
"BNIP3L",1.19017250826159e-06,0.368575652835817,0.244,0.105,0.0435615039748823,"Up_in_3D"
"SAMD9",1.19216975509721e-06,0.989141409135704,0.103,0.021,0.0436346052063131,"Up_in_3D"
"SNRPD1",1.22650328118219e-06,0.605240407747379,0.298,0.143,0.0448912465945492,"Up_in_3D"
